STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED,DEATHS FROM OLD AGE
145,9352,8694,2954,5740,658,74,584,5593,687,4906,0
146,9317,8656,2951,5705,661,69,592,5628,695,4933,0
147,9286,8632,2949,5683,654,65,589,5659,701,4958,0
148,9261,8596,2942,5654,665,69,596,5684,704,4980,0
149,9228,8551,2934,5617,677,72,605,5717,709,5008,0
150,9199,8507,2929,5578,692,74,618,5746,712,5034,0
151,9168,8475,2926,5549,693,74,619,5777,715,5062,0
152,9136,8437,2918,5519,699,79,620,5809,718,5091,0
153,9100,8398,2916,5482,702,80,622,5845,719,5126,0
154,9062,8377,2909,5468,685,82,603,5883,724,5159,0
155,9027,8323,2904,5419,704,86,618,5918,725,5193,0
156,8979,8295,2901,5394,684,86,598,5966,728,5238,0
157,8936,8265,2895,5370,671,86,585,6009,734,5275,0
158,8906,8232,2891,5341,674,87,587,6039,737,5302,0
159,8876,8205,2890,5315,671,82,589,6069,743,5326,0
160,8841,8168,2883,5285,673,87,586,6104,745,5359,0
161,8805,8147,2882,5265,658,85,573,6140,748,5392,0
162,8775,8118,2878,5240,657,84,573,6170,753,5417,0
163,8743,8091,2870,5221,652,88,564,6202,757,5445,0
164,8706,8049,2865,5184,657,89,568,6239,761,5478,0
165,8677,8026,2866,5160,651,80,571,6268,769,5499,0
166,8641,7998,2864,5134,643,79,564,6304,772,5532,0
167,8608,7976,2857,5119,632,83,549,6337,775,5562,0
168,8570,7956,2853,5103,614,83,531,6375,779,5596,0
169,8533,7930,2847,5083,603,88,515,6412,780,5632,0
170,8497,7890,2842,5048,607,90,517,6448,783,5665,0
171,8461,7861,2838,5023,600,91,509,6484,786,5698,0
172,8431,7844,2836,5008,587,86,501,6514,793,5721,0
173,8396,7810,2830,4980,586,85,501,6549,800,5749,0
174,8363,7787,2828,4959,576,81,495,6582,806,5776,0
175,8329,7757,2826,4931,572,78,494,6616,811,5805,0
176,8303,7729,2820,4909,574,79,495,6642,816,5826,0
177,8266,7695,2819,4876,571,70,501,6679,826,5853,0
178,8241,7664,2816,4848,577,70,507,6704,829,5875,0
179,8208,7632,2811,4821,576,65,511,6737,839,5898,0
180,8177,7601,2809,4792,576,61,515,6768,845,5923,0
181,8143,7566,2806,4760,577,63,514,6802,846,5956,0
182,8116,7548,2805,4743,568,62,506,6829,848,5981,0
183,8084,7513,2802,4711,571,63,508,6861,850,6011,0
184,8053,7479,2797,4682,574,67,507,6892,851,6041,0
185,8017,7461,2790,4671,556,69,487,6928,856,6072,0
186,7987,7436,2787,4649,551,68,483,6958,860,6098,0
187,7957,7406,2788,4618,551,62,489,6988,865,6123,0
188,7935,7380,2784,4596,555,65,490,7010,866,6144,0
189,7905,7354,2780,4574,551,66,485,7040,869,6171,0
190,7873,7333,2777,4556,540,67,473,7072,871,6201,0
191,7843,7305,2773,4532,538,65,473,7102,877,6225,0
192,7810,7280,2768,4512,530,65,465,7135,882,6253,0
193,7784,7258,2763,4495,526,68,458,7161,884,6277,0
194,7743,7249,2761,4488,494,67,427,7202,887,6315,0
195,7712,7234,2756,4478,478,68,410,7233,891,6342,0
196,7685,7212,2752,4460,473,70,403,7260,893,6367,0
197,7661,7185,2749,4436,476,71,405,7284,895,6389,0
198,7628,7176,2746,4430,452,68,384,7317,901,6416,0
199,7603,7156,2742,4414,447,69,378,7342,904,6438,0
