STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED,DEATHS FROM OLD AGE
165,14629,14613,7477,7136,16,4,12,363,93,270,0
166,14629,14613,7477,7136,16,4,12,363,93,270,0
167,14628,14609,7477,7132,19,4,15,364,93,271,0
168,14628,14607,7477,7130,21,4,17,364,93,271,0
169,14628,14606,7477,7129,22,4,18,364,93,271,0
170,14627,14604,7476,7128,23,5,18,365,93,272,0
171,14626,14600,7475,7125,26,5,21,366,94,272,0
172,14624,14590,7471,7119,34,9,25,368,94,274,0
173,14623,14588,7470,7118,35,9,26,369,95,274,0
174,14622,14583,7468,7115,39,10,29,370,96,274,0
175,14620,14581,7468,7113,39,10,29,372,96,276,0
176,14620,14578,7468,7110,42,10,32,372,96,276,0
177,14620,14572,7467,7105,48,11,37,372,96,276,0
178,14620,14571,7466,7105,49,12,37,372,96,276,0
179,14617,14567,7465,7102,50,12,38,375,97,278,0
180,14616,14564,7464,7100,52,13,39,376,97,279,0
181,14614,14563,7463,7100,51,14,37,378,97,281,0
182,14611,14563,7463,7100,48,13,35,381,98,283,0
183,14608,14561,7462,7099,47,12,35,384,100,284,0
184,14606,14560,7462,7098,46,12,34,386,100,286,0
185,14602,14557,7461,7096,45,12,33,390,101,289,0
186,14599,14555,7459,7096,44,12,32,393,103,290,0
187,14597,14553,7457,7096,44,14,30,395,103,292,0
188,14591,14546,7455,7091,45,14,31,401,105,296,0
189,14587,14545,7455,7090,42,13,29,405,106,299,0
190,14586,14540,7454,7086,46,14,32,406,106,300,0
191,14582,14542,7456,7086,40,12,28,410,106,304,0
192,14578,14539,7455,7084,39,12,27,414,107,307,0
193,14576,14539,7455,7084,37,12,25,416,107,309,0
194,14572,14536,7453,7083,36,13,23,420,108,312,0
195,14567,14534,7453,7081,33,12,21,425,109,316,0
196,14564,14533,7454,7079,31,10,21,428,110,318,0
197,14560,14533,7454,7079,27,8,19,432,112,320,0
198,14557,14532,7454,7078,25,7,18,435,113,322,0
199,14556,14529,7453,7076,27,7,20,436,114,322,0
200,14553,14529,7453,7076,24,6,18,439,115,324,0
201,14550,14527,7452,7075,23,5,18,442,117,325,0
202,14547,14523,7451,7072,24,6,18,445,117,328,0
203,14547,14522,7451,7071,25,6,19,445,117,328,0
204,14544,14520,7450,7070,24,6,18,448,118,330,0
